TEAM_ABBREVIATION,PLAYER_NAME,START_POSITION,GP,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,EFG,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
LAC,Xavier Moon,,6,14.0,34.0,0.4118,3.0,10.0,0.3,2.0,3.0,0.6667,0.46,0.17,1.33,1.5,1.67,0.83,0.17,0.5,0.67,5.5,-14.0
UTA,Zylan Cheatham,,1,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.0
GSW/BKN/MIL,Langston Galloway,,10,9.0,39.0,0.2308,4.0,25.0,0.16,2.0,2.0,1.0,0.28,0.6,2.3,2.9,1.7,0.1,0.1,0.7,1.0,2.4,-21.0
UTA,Norvel Pelle,,3,3.0,5.0,0.6,0.0,0.0,,0.0,0.0,,0.6,1.0,1.0,2.0,0.0,0.0,0.33,0.67,0.33,2.0,-19.0
PHI/SAS,Tyler Johnson,,6,6.0,20.0,0.3,5.0,13.0,0.3846,0.0,0.0,,0.42,0.5,1.5,2.0,1.17,0.5,0.5,0.33,1.17,2.83,-6.0
SAS,Jaylen Morris,,3,0.0,6.0,0.0,0.0,2.0,0.0,2.0,4.0,0.5,0.0,0.0,0.67,0.67,0.67,0.0,0.0,0.33,0.67,0.67,8.0
HOU/SAS,Anthony Lamb,,3,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.33,0.67,1.0,0.67,0.0,0.0,0.33,0.0,0.0,5.0
PHI,Braxton Key,,2,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,,0.5,0.5,0.5,1.0,0.5,0.5,0.0,1.0,0.5,1.0,-5.0
PHI,Aaron Henry,,10,5.0,17.0,0.2941,1.0,5.0,0.2,1.0,1.0,1.0,0.32,0.1,0.6,0.7,0.4,0.7,0.3,0.5,0.7,1.2,-19.0
HOU,Usman Garuba,,19,11.0,32.0,0.3438,3.0,16.0,0.1875,1.0,2.0,0.5,0.39,0.68,1.58,2.26,0.47,0.42,0.37,0.26,0.47,1.37,47.0
POR,Cody Zeller,,28,54.0,93.0,0.5806,0.0,4.0,0.0,40.0,51.0,0.7843,0.58,1.86,2.86,4.71,0.79,0.29,0.21,0.75,2.07,5.29,-30.0
TOR/ORL,Freddie Gillespie,F,14,11.0,28.0,0.3929,0.0,1.0,0.0,4.0,9.0,0.4444,0.39,1.21,2.36,3.57,0.43,0.21,0.79,0.57,1.93,1.86,-29.0
GSW,Draymond Green,F,38,118.0,223.0,0.5291,15.0,50.0,0.3,44.0,73.0,0.6027,0.56,1.08,6.13,7.21,6.97,1.37,1.16,3.05,2.68,7.76,226.0
MEM,Dillon Brooks,F,21,145.0,340.0,0.4265,33.0,101.0,0.3267,64.0,72.0,0.8889,0.48,0.81,2.48,3.29,2.71,1.29,0.19,1.76,3.29,18.43,108.0
ORL/MEM,Jon Teske,,5,2.0,4.0,0.5,1.0,2.0,0.5,0.0,2.0,0.0,0.62,0.4,0.8,1.2,0.4,0.2,0.2,0.0,0.4,1.0,-9.0
MEM,DaQuan Jeffries,,3,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,,0.5,0.0,0.67,0.67,0.33,0.0,0.0,0.0,0.33,0.67,-3.0
ORL/GSW/MIL,Jeff Dowtin,,8,10.0,24.0,0.4167,0.0,5.0,0.0,0.0,0.0,,0.42,0.38,0.75,1.12,0.88,0.0,0.12,0.12,0.25,2.5,16.0
